hotel,nom,description,prix,actif,date_creation,date_update
6956e0fd33e2abe4be8bd2ac,Transfert aéroport,Service premium: Transfert aéroport,71,True,2026-01-01 21:02:53.288,2026-01-01 21:02:53.288
6956e0fd33e2abe4be8bd2ac,Service voiturier 24h,Service premium: Service voiturier 24h,228,True,2026-01-01 21:02:53.299,2026-01-01 21:02:53.299
6956e0fd33e2abe4be8bd2ac,Massage relaxant 90min,Service premium: Massage relaxant 90min,61,True,2026-01-01 21:02:53.301,2026-01-01 21:02:53.301
6956e0fd33e2abe4be8bd2ac,Location voiture,Service premium: Location voiture,159,True,2026-01-01 21:02:53.303,2026-01-01 21:02:53.303
6956e0fd33e2abe4be8bd2ac,Massage relaxant 60min,Service premium: Massage relaxant 60min,82,True,2026-01-01 21:02:53.304,2026-01-01 21:02:53.304
6956e0fd33e2abe4be8bd2ac,Séance fitness personnel,Service premium: Séance fitness personnel,225,True,2026-01-01 21:02:53.305,2026-01-01 21:02:53.305
6956e0fd33e2abe4be8bd2ac,Excursion privée guidée,Service premium: Excursion privée guidée,132,True,2026-01-01 21:02:53.307,2026-01-01 21:02:53.307
6956e0fd33e2abe4be8bd2ac,Séance fitness personnel,Service premium: Séance fitness personnel,167,True,2026-01-01 21:02:53.308,2026-01-01 21:02:53.308
6956e0fd33e2abe4be8bd2ac,Baby-sitting professionnel,Service premium: Baby-sitting professionnel,111,True,2026-01-01 21:02:53.310,2026-01-01 21:02:53.310
6956e0fd33e2abe4be8bd2ac,Room service 24h,Service premium: Room service 24h,146,True,2026-01-01 21:02:53.311,2026-01-01 21:02:53.311
6956e0fd33e2abe4be8bd2ac,Accès Spa & Wellness,Service premium: Accès Spa & Wellness,171,True,2026-01-01 21:02:53.312,2026-01-01 21:02:53.312
6956e0fd33e2abe4be8bd2ac,Champagne & amuse-bouches,Service premium: Champagne & amuse-bouches,30,True,2026-01-01 21:02:53.313,2026-01-01 21:02:53.313
6956e0fd33e2abe4be8bd2ae,Petit-déjeuner en chambre,Service premium: Petit-déjeuner en chambre,158,True,2026-01-01 21:02:53.339,2026-01-01 21:02:53.339
6956e0fd33e2abe4be8bd2ae,Transfert aéroport,Service premium: Transfert aéroport,243,True,2026-01-01 21:02:53.342,2026-01-01 21:02:53.342
6956e0fd33e2abe4be8bd2ae,Baby-sitting professionnel,Service premium: Baby-sitting professionnel,90,True,2026-01-01 21:02:53.343,2026-01-01 21:02:53.343
6956e0fd33e2abe4be8bd2ae,Location voiture,Service premium: Location voiture,120,True,2026-01-01 21:02:53.345,2026-01-01 21:02:53.345
6956e0fd33e2abe4be8bd2ae,Massage relaxant 90min,Service premium: Massage relaxant 90min,54,True,2026-01-01 21:02:53.346,2026-01-01 21:02:53.346
6956e0fd33e2abe4be8bd2ae,Massage relaxant 90min,Service premium: Massage relaxant 90min,113,True,2026-01-01 21:02:53.347,2026-01-01 21:02:53.347
6956e0fd33e2abe4be8bd2ae,Petit-déjeuner en chambre,Service premium: Petit-déjeuner en chambre,203,True,2026-01-01 21:02:53.349,2026-01-01 21:02:53.349
6956e0fd33e2abe4be8bd2ae,Champagne & amuse-bouches,Service premium: Champagne & amuse-bouches,230,False,2026-01-01 21:02:53.350,2026-01-01 21:02:53.350
6956e0fd33e2abe4be8bd2ae,Service voiturier 24h,Service premium: Service voiturier 24h,44,True,2026-01-01 21:02:53.351,2026-01-01 21:02:53.351
